No,ID,Bölüm,Üniversite,Yıl,Puan Türü,Açıklama,İl,Tür,Sıralama (2024),Sıralama (2023),Sıralama (2022),Sıralama (2021),Sıralama (2020),Sıralama (2019),Sıralama (2018),Sıralama (2017),Sıralama (2016),Sıralama (2015),Kontenjan (2024),Kontenjan (2023),Kontenjan (2022),Kontenjan (2021),Kontenjan (2020),Kontenjan (2019),Kontenjan (2018),Kontenjan (2017),Kontenjan (2016),Kontenjan (2015),Toplam Tercih (2023),Toplam Tercih (2022),Toplam Tercih (2021),Toplam Tercih (2020),"Yerleşen (E, 2023)","Yerleşen (K, 2023)","Yerleşen (Mzn, 2023)","Yerleşen (E, 2022)","Yerleşen (K, 2022)","Yerleşen (Mzn, 2022)","Yerleşen (E, 2021)","Yerleşen (K, 2021)","Yerleşen (Mzn, 2021)"
1129,203090273,Yazılım Mühendisliği,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),İSTANBUL,VAKIF,60174,0,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
1130,110010059,Makine Mühendisliği,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,4,SAYISAL,(İngilizce),ANKARA,DEVLET,60185,58525,68907,77537,70584,62611,56100,57122,54008,48688,85,80,80,80,80,70,60,62,50,41,1524,1424,1,1297,58,24,36,57,25,53,66,16,49
1131,204810864,Mimarlık,ÖZYEĞİN ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),İSTANBUL,VAKIF,60191,43602,48864,47485,46374,35306,26600,24700,23366,19870,10,10,12,12,12,7,7,7,8,7,274,397,506,423,2,9,1,3,9,1,3,9,4
1132,206111978,Hukuk,YEDİTEPE ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(%50 İndirimli),İSTANBUL,VAKIF,60229,56237,37670,45735,40407,40011,48600,24237,24584,20620,80,78,73,73,69,48,55,54,50,46,367,616,696,584,29,49,30,23,50,32,26,47,30
1133,403990025,Diş Hekimliği,HOCA AHMET YESEVİ ULUSLARARASI TÜRK-KAZAK ÜNİVERSİTESİ,6,SAYISAL,,TÜRKİSTAN-KAZAKİSTAN,,60244,63520,57262,45341,42014,38640,-1,-1,-1,-1,15,15,15,15,15,5,-1,-1,-1,-1,49,50,73,105,11,4,13,10,5,10,10,5,12
1134,108790055,Hukuk,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,,RİZE,DEVLET,60276,47627,57484,71001,28239,39977,-1,-1,-1,-1,100,100,100,90,80,80,-1,-1,-1,-1,4423,5396,3,5272,36,67,62,42,61,50,29,64,44
1135,106290400,Yapay Zeka ve Veri Mühendisliği,KARADENİZ TEKNİK ÜNİVERSİTESİ,4,SAYISAL,(İngilizce),TRABZON,DEVLET,60278,0,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
1136,204790546,Psikoloji,İSTANBUL OKAN ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (Burslu),İSTANBUL,VAKIF,60331,55912,58568,71273,,,,,,,7,7,6,6,,,,,,,140,317,500,,2,6,4,1,5,2,1,5,3
1137,207651006,Yazılım Mühendisliği,BİRUNİ ÜNİVERSİTESİ,4,SAYISAL,(Burslu),İSTANBUL,VAKIF,60396,0,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
1138,202210350,Yönetim Bilişim Sistemleri,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(Burslu),İSTANBUL,VAKIF,60553,64119,87589,111617,,,,,,,7,8,7,6,,,,,,,196,313,286,,5,4,4,6,1,2,1,5,4
